,Keyword Entity Name,QID SPARQL,Score SPARQL,QID Pywikibot,Score Pywikibot,QID Benchmark,Score Benchmark,Comment
1,laguerre polynomial,N/A,0,N/A,0,Q1124546,2,
2,linear mean,N/A,,N/A,,N/A,0,
3,lebesgue constant,N/A,0,Q6511314,2,Q6511314,2,
4,weighted lebesgue space,N/A,,N/A,,N/A,0,
5,positive solution,N/A,,N/A,,N/A,0,
6,singular nonlinearities,N/A,,N/A,,N/A,0,
7,degree theory,N/A,,N/A,,N/A,0,
8,periodic boundary value problem,N/A,,N/A,,N/A,0,
9,sturmliouville problem,N/A,,N/A,,Q1154082,2,
10,eigenvalue,N/A,,N/A,,Q3553768,2,
11,boundary value problem,Q6403067,1,Q1332643,2,Q1332643,2,
12,lotkavolterra equation,N/A,,N/A,,Q150052,2,
13,global attractor,N/A,,N/A,,N/A,0,
14,arnoldliouville,N/A,,N/A,,Q14943261,1,
15,hyperbolicity,N/A,,N/A,,N/A,0,
16,periodic orbit,N/A,,N/A,,Q56657330,2,
17,algorithmic information theory,N/A,0,Q1757543,2,Q1757543,2,
18,lower bound,N/A,,N/A,,Q12254923,2,
19,multiparty communication complexity,N/A,0,Q6934835,2,Q6934835,2,
20,boolean function,N/A,0,Q942353,2,Q942353,2,
21,counting protocol,N/A,,N/A,,N/A,0,
22,newton,Q12438,2,Q568182,0,Q12438,1,
23,gravitation,Q11412,2,N/A,0,Q11412,2,
24,potential,Q1202245,2,Q1202245,2,Q1202245,2,
25,homogeneous sphere,N/A,,N/A,,N/A,0,
26,`` archimedes computation volume '',N/A,,N/A,,N/A,0,
27,potential theory,Q1154848,2,Q1154848,2,Q1154848,2,
28,hypercomplex system,N/A,,N/A,,N/A,0,
29,division algebra,Q1231309,2,Q1231309,2,Q1231309,2,
30,algebraic number theory,Q613048,2,Q613048,2,Q613048,2,
31,algebraic geometry,Q180969,2,Q180969,2,Q180969,2,
32,riemann,N/A,0,N/A,0,Q28745080,2,
33,complex function,Q64952105,2,N/A,2,Q64952105,2,
34,eigenvalue linear control system,N/A,,N/A,,N/A,0,
35,schwartz form,N/A,,N/A,,N/A,0,
36,root locus technique,N/A,,N/A,,Q957693,1,
37,polynomial,Q43260,2,Q43260,2,Q43260,2,
38,height,Q190200,1,Q208826,2,Q208826,2,
39,elliptic mahler measure,N/A,,N/A,,Q6734205,1,
40,`` lehmers problem '',N/A,,N/A,,Q6518929,1,
41,entropy,Q12727673,2,Q45003,2,Q45003,1,
42,lfunctions,N/A,,N/A,,Q1789063,2,
43,elliptic curve,Q268493,2,Q268493,2,Q268493,2,
44,liberal art,N/A,,N/A,,Q1377182,1,
45,mathematical education,N/A,,N/A,,N/A,0,
46,classification mathematics,N/A,,N/A,,Q967960,1,
47,prague,N/A,0,Q1085,2,Q1085,2,
48,kepler,N/A,,N/A,,Q16277846,2,
49,galileo,Q500515,0,N/A,0,Q3757616,2,
50,tycho brahe,N/A,,N/A,,Q36620,2,
51,solomon delmedigo,N/A,,N/A,,Q969675,1,
52,david gans,N/A,,N/A,,Q1174512,2,
53,astronomy,N/A,0,Q333,2,Q333,2,
54,mathematics,Q395,2,Q395,2,Q395,2,
55,hilbert,N/A,,N/A,,Q21450555,2,
56,kinetic theory,Q200286,2,Q25100325,0,Q200286,2,
57,radiation theory,N/A,,N/A,,Q60080067,2,
58,spectral theory,Q2409122,2,Q2409122,2,Q2409122,2,
59,maximum principle,N/A,0,Q1914255,2,Q1914255,2,
60,fluid flow,N/A,,N/A,,Q28195494,2,
61,poincaré,N/A,0,Q21448108,2,Q21448108,2,
62,hilbert program,N/A,0,N/A,0,Q968548,2,
63,bernstein,N/A,0,Q21660706,2,Q21660706,2,
64,elliptic equation,N/A,0,Q107440094,2,Q107440094,2,
65,lerayschauder theory,N/A,,N/A,,Q1662850,1,
66,hadamard,N/A,,N/A,,Q63726823,2,
67,sobolev space,N/A,0,Q1501536,2,Q1501536,2,
68,schwartz theory distribution,N/A,,N/A,,Q865811,1,
69,hilbert space method,N/A,,N/A,,Q190056,1,
70,calderonzygmund theory,N/A,,N/A,,Q1707076,1,
71,hilleyosida theory,N/A,,N/A,,Q974405,1,
72,degiorginash estimate,N/A,,N/A,,N/A,0,
73,gas dynamic,N/A,,N/A,,Q1144718,2,
74,nonlinear functional analysis,Q7049475,2,Q7049475,2,Q7049475,2,
75,differential geometry,Q188444,2,Q188444,2,Q188444,2,
76,quadratic form,Q736753,2,Q736753,2,Q736753,2,
77,positive definite ternary form,N/A,,N/A,,N/A,0,
78,reduction,Q7306360,2,Q225229,2,Q7306360,2,
79,asymptotic distribution,N/A,0,Q12345341,2,Q12345341,2,
80,aadic integer,N/A,0,N/A,0,Q311627,1,
81,uniformly distributed sequence modulo 1,N/A,0,N/A,0,N/A,0,
82,approximate functional equation,N/A,0,N/A,0,N/A,0,
83,remainder,Q846677,2,Q846677,2,Q846677,2,
84,multiplicative function,Q1048447,2,Q1048447,2,Q1048447,2,
85,arithmetic progression,Q170008,2,Q170008,2,Q170008,2,
86,bruntitchmarsh theorem,N/A,,N/A,,Q4979609,2,
87,monotone difference scheme,N/A,,N/A,,N/A,0,
88,anisotropic driftdiffusion equation,N/A,,N/A,,N/A,0,
89,rotated upwind discretization,N/A,,N/A,,N/A,0,
90,algorithm,Q8366,2,Q8366,2,Q8366,2,
91,oscillationfree solution,N/A,,N/A,,N/A,0,
92,iterative method,Q2321565,1,Q2321565,1,Q2321565,2,
